sample,cropped_percentage,rmse_org,rel_org,rmse_cropped,rel_cropped
bathroom/rgb_00727.jpg bathroom/sync_depth_00727.png 518.8579,75,0.20830457,0.11095684,0.8547085,0.34810102
bathroom/rgb_00730.jpg bathroom/sync_depth_00730.png 518.8579,75,0.5438533,0.27999622,1.1728901,0.33935812
bathroom/rgb_00731.jpg bathroom/sync_depth_00731.png 518.8579,75,0.21642077,0.12779865,0.3424622,0.15386407
bathroom/rgb_00732.jpg bathroom/sync_depth_00732.png 518.8579,75,0.13846391,0.05676135,0.92347634,0.3432067
bathroom/rgb_00733.jpg bathroom/sync_depth_00733.png 518.8579,75,0.5147874,0.39918196,0.12157471,0.045062155
bathroom/rgb_00742.jpg bathroom/sync_depth_00742.png 518.8579,75,0.25505418,0.11885698,0.76648736,0.17586969
bathroom/rgb_00743.jpg bathroom/sync_depth_00743.png 518.8579,75,0.27769276,0.17768306,0.79499286,0.37033817
bedroom/rgb_00055.jpg bedroom/sync_depth_00055.png 518.8579,75,0.15212984,0.06741588,1.0146049,0.35182753
bedroom/rgb_00056.jpg bedroom/sync_depth_00056.png 518.8579,75,0.27454183,0.15334322,0.65633225,0.29751495
bedroom/rgb_00058.jpg bedroom/sync_depth_00058.png 518.8579,75,0.14061336,0.04543848,1.189608,0.44384643
bedroom/rgb_00059.jpg bedroom/sync_depth_00059.png 518.8579,75,0.2366324,0.11090355,0.440536,0.15275079
bedroom/rgb_00060.jpg bedroom/sync_depth_00060.png 518.8579,75,0.1570952,0.06403406,1.0354253,0.45756328
bedroom/rgb_00061.jpg bedroom/sync_depth_00061.png 518.8579,75,0.18288009,0.09603992,0.41857487,0.21115845
bedroom/rgb_00062.jpg bedroom/sync_depth_00062.png 518.8579,75,0.2506076,0.11487088,0.7433654,0.3197897
bedroom/rgb_00075.jpg bedroom/sync_depth_00075.png 518.8579,75,0.33161473,0.12573901,2.1691058,0.6229096
bedroom/rgb_00076.jpg bedroom/sync_depth_00076.png 518.8579,75,0.5776608,0.1860221,1.825789,0.53188485
bedroom/rgb_00077.jpg bedroom/sync_depth_00077.png 518.8579,75,0.1860197,0.09796486,0.4760071,0.23688616
bedroom/rgb_00078.jpg bedroom/sync_depth_00078.png 518.8579,75,0.10906284,0.03437352,0.82752913,0.3371946
bedroom/rgb_00170.jpg bedroom/sync_depth_00170.png 518.8579,75,0.5777992,0.19874813,1.2046535,0.42777216
bedroom/rgb_00171.jpg bedroom/sync_depth_00171.png 518.8579,75,0.63866615,0.19644028,2.22392,0.5234656
bedroom/rgb_00172.jpg bedroom/sync_depth_00172.png 518.8579,75,0.5224704,0.120774895,1.4972699,0.45447534
bedroom/rgb_00173.jpg bedroom/sync_depth_00173.png 518.8579,75,0.27659276,0.0652437,2.3785543,0.5346065
bedroom/rgb_00174.jpg bedroom/sync_depth_00174.png 518.8579,75,0.33715641,0.18424548,1.4541305,0.4820993
bedroom/rgb_00175.jpg bedroom/sync_depth_00175.png 518.8579,75,0.46073344,0.24175975,0.69468206,0.33607283
bedroom/rgb_00180.jpg bedroom/sync_depth_00180.png 518.8579,75,0.37063158,0.15438175,0.83688354,0.30419022
bedroom/rgb_00181.jpg bedroom/sync_depth_00181.png 518.8579,75,0.093893304,0.028523616,0.69475174,0.30208838
bedroom/rgb_00182.jpg bedroom/sync_depth_00182.png 518.8579,75,0.16132413,0.0763823,1.0148234,0.37153432
bedroom/rgb_00183.jpg bedroom/sync_depth_00183.png 518.8579,75,0.26989314,0.15731671,0.39382374,0.21297735
bedroom/rgb_00184.jpg bedroom/sync_depth_00184.png 518.8579,75,0.1973589,0.05878761,1.1597614,0.3986831
bedroom/rgb_00185.jpg bedroom/sync_depth_00185.png 518.8579,75,0.68508106,0.17989269,1.7222728,0.40522185
bedroom/rgb_00186.jpg bedroom/sync_depth_00186.png 518.8579,75,0.45112973,0.2608861,0.33151296,0.17894018
bedroom/rgb_00187.jpg bedroom/sync_depth_00187.png 518.8579,75,0.28041527,0.14243467,0.54590374,0.28220466
bedroom/rgb_00188.jpg bedroom/sync_depth_00188.png 518.8579,75,0.42690778,0.24504985,0.6321023,0.30711278
bedroom/rgb_00189.jpg bedroom/sync_depth_00189.png 518.8579,75,0.37195376,0.15388037,1.5109351,0.4791212
bedroom/rgb_00190.jpg bedroom/sync_depth_00190.png 518.8579,75,0.32924852,0.19902192,0.26166174,0.19943646
bedroom/rgb_00191.jpg bedroom/sync_depth_00191.png 518.8579,75,0.11505397,0.056920037,0.4205854,0.22549118
bedroom/rgb_00192.jpg bedroom/sync_depth_00192.png 518.8579,75,0.21188968,0.091889806,0.51877373,0.26597062
bedroom/rgb_00219.jpg bedroom/sync_depth_00219.png 518.8579,75,0.18025966,0.046873778,2.3502474,0.63435894
bedroom/rgb_00220.jpg bedroom/sync_depth_00220.png 518.8579,75,0.6731698,0.149349,2.4021165,0.5802539
bedroom/rgb_00221.jpg bedroom/sync_depth_00221.png 518.8579,75,0.67633706,0.20762077,2.3766937,0.5653829
bedroom/rgb_00279.jpg bedroom/sync_depth_00279.png 518.8579,75,0.36911425,0.16941456,1.735657,0.5385811
bedroom/rgb_00179.jpg bedroom/sync_depth_00179.png 518.8579,75,0.13448764,0.040447757,1.5698862,0.5597859
bedroom/rgb_00280.jpg bedroom/sync_depth_00280.png 518.8579,75,0.33143756,0.11253148,1.24461,0.41801792
bedroom/rgb_00536.jpg bedroom/sync_depth_00536.png 518.8579,75,0.22637497,0.092477985,1.9112496,0.5450445
bedroom/rgb_00960.jpg bedroom/sync_depth_00960.png 518.8579,75,0.2984484,0.09860756,1.0976238,0.3387373
bedroom/rgb_01000.jpg bedroom/sync_depth_01000.png 518.8579,75,0.23455746,0.104623325,1.7830321,0.51634806
bedroom/rgb_01052.jpg bedroom/sync_depth_01052.png 518.8579,75,0.25419053,0.1449086,0.4540112,0.23895165
bedroom/rgb_01092.jpg bedroom/sync_depth_01092.png 518.8579,75,0.31367832,0.13968241,1.2504876,0.49569216
bedroom/rgb_01122.jpg bedroom/sync_depth_01122.png 518.8579,75,0.43720463,0.19583401,1.7808697,0.53770894
bedroom/rgb_01150.jpg bedroom/sync_depth_01150.png 518.8579,75,0.12405853,0.03123,1.3498933,0.44088048
bedroom/rgb_00281.jpg bedroom/sync_depth_00281.png 518.8579,75,0.73971224,0.2857923,0.7381393,0.25982338
bedroom/rgb_00282.jpg bedroom/sync_depth_00282.png 518.8579,75,0.42990893,0.24597038,0.40878406,0.2053761
bedroom/rgb_00514.jpg bedroom/sync_depth_00514.png 518.8579,75,0.5142391,0.16011648,1.6994355,0.5306194
bedroom/rgb_00515.jpg bedroom/sync_depth_00515.png 518.8579,75,0.40045428,0.16125487,1.0875533,0.35942197
bedroom/rgb_00516.jpg bedroom/sync_depth_00516.png 518.8579,75,0.8659913,0.45264566,1.1125499,0.28548676
bedroom/rgb_00517.jpg bedroom/sync_depth_00517.png 518.8579,75,0.34301594,0.14368305,0.6481813,0.3022977
bedroom/rgb_00518.jpg bedroom/sync_depth_00518.png 518.8579,75,0.4532234,0.20225054,1.000101,0.31203157
bedroom/rgb_00519.jpg bedroom/sync_depth_00519.png 518.8579,75,0.57076627,0.19180234,1.6760677,0.51669425
bedroom/rgb_00520.jpg bedroom/sync_depth_00520.png 518.8579,75,0.18937904,0.065377004,0.8730552,0.305779
bedroom/rgb_00521.jpg bedroom/sync_depth_00521.png 518.8579,75,0.237106,0.106575325,0.8009971,0.33214748
bedroom/rgb_00522.jpg bedroom/sync_depth_00522.png 518.8579,75,0.21337342,0.054037586,1.7377605,0.5083603
bedroom/rgb_00523.jpg bedroom/sync_depth_00523.png 518.8579,75,0.1284942,0.036701202,1.0244073,0.34520546
bedroom/rgb_00524.jpg bedroom/sync_depth_00524.png 518.8579,75,0.13757949,0.047963053,1.1473429,0.4498127
bedroom/rgb_00525.jpg bedroom/sync_depth_00525.png 518.8579,75,0.3845788,0.11668662,2.1834078,0.5924918
bedroom/rgb_00530.jpg bedroom/sync_depth_00530.png 518.8579,75,0.16303709,0.062065315,1.4667606,0.50323236
bedroom/rgb_00531.jpg bedroom/sync_depth_00531.png 518.8579,75,0.13481687,0.041240577,1.1692704,0.4164547
bedroom/rgb_00532.jpg bedroom/sync_depth_00532.png 518.8579,75,0.14309484,0.047632515,1.4644039,0.48903826
bedroom/rgb_00537.jpg bedroom/sync_depth_00537.png 518.8579,75,0.22461867,0.09137193,0.7755242,0.3200906
